Cyprus,Greece; United Kingdom; Germany
Czech Republic,Germany; Slovakia; Poland; France; Austria; United Kingdom; Italy
Denmark,Germany; Sweden; United Kingdom; Norway; United States; Netherlands; France
Djibouti,Somalia; Egypt
Dominica,Japan; Antigua and Barbuda; Jamaica; Guyana; Trinidad and Tobago
Dominican Republic,United States; Haiti
Ecuador,United States; Panama; Peru; Venezuela; Chile; Russia
Egypt,Italy; Germany; United States; India; Saudi Arabia; Spain; France
El Salvador,United States; Guatemala; Honduras; Nicaragua; Germany
Equatorial Guinea,"Spain; China; Italy; Japan; United States; Netherlands; Canada; Brazil; France; Korea, South"
Eritrea,Italy; Sudan; Saudi Arabia; China; United Kingdom; Egypt
Estonia,Sweden; Finland; Russia; Latvia; Germany; Lithuania
Ethiopia,Germany; China; Belgium; Saudi Arabia; United States; Italy; Sudan
Fiji,Australia; United States; Japan; United Kingdom; Samoa; Tonga
Finland,Sweden; Germany; Russia; Netherlands; United Kingdom; United States; China
France,Germany; Italy; Spain; Belgium; United Kingdom; United States; Netherlands
Gabon,United States; Australia; Malaysia; Japan; China; Spain
"Gambia, The",China; India; France; United Kingdom
Georgia,Azerbaijan; Turkey; Armenia; Kazakhstan; Ukraine; United States; Canada; Bulgaria
Germany,France; United States; Netherlands; United Kingdom; Italy; China; Austria; Belgium; Switzerland
Ghana,France; Netherlands; United States; Italy; United Kingdom
Greece,Italy; Germany; United Kingdom; Bulgaria; United States; China; Switzerland; Belgium; Poland
Grenada,Saint Lucia; Antigua and Barbuda; Saint Kitts and Nevis; Dominica; United States
Guatemala,United States; El Salvador; Honduras; Mexico
Guinea,Chile; Spain; India; Russia; Germany; Ireland; United States; Ukraine
Guinea-Bissau,India; Nigeria; Brazil; Togo
Guyana,Canada; United States; United Kingdom; Trinidad and Tobago; Jamaica
Haiti,United States
Honduras,United States
Hungary,Germany; Romania; Austria; Slovakia; Italy; France; United Kingdom
Iceland,Netherlands; Germany; United Kingdom; Norway
India,United Arab Emirates; United States; China; Singapore
Indonesia,"Japan; China; Singapore; United States; Korea, South; India; Malaysia"
Iran,"China; India; Japan; Turkey; Korea, South; Italy"
Iraq,"United States; India; China; Korea, South; Japan; Netherlands"
Ireland,United States; United Kingdom; Belgium; Germany; France; Switzerland
Israel,United States; China; Belgium; United Kingdom; India
Italy,Germany; France; United States; Spain; Switzerland; United Kingdom
Jamaica,United States; Canada; Netherlands; United Kingdom; Norway
Japan,"China; United States; Korea, South; Thailand"
Jordan,Iraq; United States; India; Saudia Arabia; Lebanon
Kazakhstan,China; France; Germany; Russia; Italy; Canada; Romania
Kenya,Uganda; Tanzania; Netherlands; United Kingdom; United States; Democratic Republic of the Congo
"Korea, North","China; Korea, South; Bangladesh"
"Korea, South",China; United States; Japan
Kuwait,"Korea, South; Japan; India; China; United States"
Kyrgyzstan,Uzbekistan; Russia; Kazakhstan; China; United Arab Emirates; Afghanistan; Turkey
Laos,Thailand; China; Vietnam
Latvia,Russia; Lithuania; Estonia; Germany; Sweden; Poland
Lebanon,United Arab Emirates; South Africa; Iraq; Saudi Arabia; Turkey; Syria; Egypt; Switzerland
Lesotho,United States; Belgium; Canada
Liberia,South Africa; United States; Spain; Cote d'Ivoire; Germany; Japan; China
Libya,Italy; Germany; France; China; Spain; Tunisia; India
Lithuania,Russia; Latvia; Germany; Poland; Estonia; Netherlands; Belarus; United Kingdom; France
Luxembourg,Germany; France; Belgium; United Kingdom; Italy; Switzerland; Netherlands
Macedonia,Germany; Italy; Bulgaria; Greece
Madagascar,France; Indonesia; Singapore; China; Germany; United States; Canada
Malawi,Canada; South Africa; Zimbabwe; Germany; United States; Russia; United Kingdom; China
Malaysia,China; Singapore; Japan; United States; Thailand
Maldives,France; Thailand; India; United Kingdom; Sri Lanka; Italy; Philippines; Germany
Mali,"China; Korea, South; Indonesia; Thailand; Bangladesh"
Malta,Germany; France; Italy; United Kingdom
Mauritania,China; Italy; France; Cote d'Ivoire; Spain; Japan; Belgium; Netherlands
Mauritius,United Kingdom; France; United States; Italy; South Africa; Spain; Madagascar
Mexico,United States; Canada
Moldova,Italy; Ukraine; Germany; United Kingdom
Mongolia,China; Russia; Canada
Montenegro,Serbia; Hungary; Croatia
Morocco,Spain; France; Brazil; United States; India
Mozambique,Belgium; South Africa; Italy; Spain; China
Nepal,India; United States; Germany
Netherlands,Germany; Belgium; France; United Kingdom; Italy
New Zealand,Australia; China; United States; Japan
Nicaragua,United States; Canada; El Salvador
Niger,United States; Nigeria; Russia; Ghana
Nigeria,United States; India; Brazil; Spain; France; Netherlands
Norway,United Kingdom; Netherlands; Germany; France; Sweden; United States
Oman,"China; Korea, South; United Arab Emirates; Japan; India; Thailand; United States"
Pakistan,United States; United Arab Emirates; Afghanistan; China; Germany; United Kingdom
Papua New Guinea,Australia; Japan; China
Paraguay,Uruguay; Brazil; Argentina; Chile; Russia; Netherlands; Germany; Italy
Peru,"China; United States; Canada; Japan; Spain; Chile; Korea, South; Germany"
Philippines,"China; Japan; United States; Singapore; Korea, South"
Poland,Germany; United Kingdom; Czech Republic; France; Italy; Netherlands; Russia
Portugal,Spain; Germany; France; Angola; United Kingdom
Qatar,"Japan; Korea, South; India; Singapore; United Kingdom; China"
Romania,Germany; Italy; France; Turkey; Hungary
Russia,Netherlands; China; Italy; Germany; Poland
Rwanda,"Kenya; China; Congo, Democratic Republic of The; Malaysia; United States; Swaziland"
Saint Kitts and Nevis,United States; Canada; Russia; Germany
Saint Lucia,Colombia; United States; Peru; Antigua and Barbuda; Dominica; Barbados; Trinidad and Tobago; United Kingdom; Grenada
Saint Vincent and the Grenadines,Trinidad and Tobago; Austria; Saint Lucia; France; Turkey; Barbados; Dominica; Grenada; Antigua and Barbuda
Samoa,United States; Australia
Sao Tome and Principe,Netherlands; Belgium; Egypt; United States
Saudi Arabia,"Japan; China; United States; Korea, South; India; Singapore"
Senegal,Mali; India; France; Italy
Serbia,Germany; Bosnia and Herzegovina; Montenegro; Romania; Russia; Macedonia
Seychelles,France; United Kingdom; Japan; Italy
Sierra Leone,Belgium; Romania; Netherlands; China; United States; Turkey; United Kingdom
Singapore,Malaysia; China; Indonesia; United States; Japan
Slovakia,Germany; Czech Republic; Poland; Hungary; Austria; France; Italy
Slovenia,Germany; Italy; Austria; Croatia; France; Hungary
Solomon Islands,China; Australia; Thailand
Somalia,United Arab Emirates; Yemen; Oman
South Africa,China; United States; Japan; India; Germany; United Kingdom
Spain,France; Germany; Portugal; Italy; United Kingdom
Sri Lanka,United States; United Kingdom; India; Italy; Germany; Belgium
Sudan,China; Japan; India
Suriname,United States; Canada; Belgium; United Arab Emirates; Norway; Guyana; France
Sweden,Germany; Norway; United Kingdom; Denmark; Finland; United States; Netherlands; France; Belgium
Switzerland,Germany; United States; Italy; France; United Kingdom; China
Syria,Iraq; Italy; Germany; Saudi Arabia; Kuwait
Taiwan,China; United States; Japan; Singapore
Tajikistan,"Turkey; Russia; Iran; China; Korea, South; Afghanistan; Italy"
Tanzania,China; India; Japan; Germany; United Arab Emirates
Thailand,China; Japan; United States; Malaysia; Singapore; Indonesia
Togo,China; Burkina Faso; Benin; Niger; Germany; India; Ghana; Indonesia
Tonga,"China; Japan; United States; Korea, South; Fiji; New Zealand; Samoa; Brazil"
Trinidad and Tobago,United States; Spain; South Korea; Jamaica
Tunisia,France; Italy; Germany; Libya
Turkey,Germany; Iraq; United Kingdom; Italy; France; Russia
Turkmenistan,China; Turkey; Italy; United Arab Emirates
Uganda,Sudan; Kenya; Rwanda; United Arab Emirates; Democratic Republic of the Congo; Netherlands; Germany
Ukraine,Russia; Turkey; Italy
United Arab Emirates,"Japan; India; Iran; Korea, South; Thailand; Singapore"
United Kingdom,Germany; United States; Netherlands; France; Ireland; Belgium
United States,Canada; Mexico; China; Japan
Uruguay,Brazil; China; Argentina; Germany; Venezuela
Uzbekistan,Russia; Turkey; China; Kazakhstan; Bangladesh
Vanuatu,Thailand; Japan
Venezuela,United States; China; India
Vietnam,United States; China; Japan; Germany
Yemen,"China; Thailand; India; Korea, South; Japan; United States; South Africa; United Arab Emirates"
Zambia,"China; Switzerland; South Africa; Congo, Democratic Republic of The; Korea, South"
Zimbabwe,"China; Congo, Democratic Republic of The; South Africa; Botswana; Italy"
